name,time,id,event_id,stock_name,sector,fantasy_points_projected,fantasy_points_projected_live,fantasy_points_scored,amount_completed,estimated_price,last_price,ask_price,bid_price
$500 NBA Daily 8/14,2020-08-13T16:00:08.952604,estk_3caf7d1e2815d858998cf3066566c393,evt_3caf7d1e2815d858,James Harden,NBA,50.33,,,,,,,
$500 NBA Daily 8/14,2020-08-13T16:00:08.952677,estk_3caf7d1e2815d858bb115bd4f54ff319,evt_3caf7d1e2815d858,Kawhi Leonard,NBA,43.03,,,,,,,
$500 NBA Daily 8/14,2020-08-13T16:00:08.952683,estk_3caf7d1e2815d858f59563a6406f63f4,evt_3caf7d1e2815d858,Paul George,NBA,38.42,,,,,,,
$500 NBA Daily 8/14,2020-08-13T16:00:08.952687,estk_3caf7d1e2815d85886ea8af848cca3f6,evt_3caf7d1e2815d858,Chris Paul,NBA,37.31,,,,,,,
$500 NBA Daily 8/14,2020-08-13T16:00:08.952691,estk_3caf7d1e2815d85877c3d3d4d8ad15c5,evt_3caf7d1e2815d858,Tobias Harris,NBA,32.92,,,,,,,
$500 NBA Daily 8/14,2020-08-13T16:00:08.952695,estk_3caf7d1e2815d85863a58b55849249a4,evt_3caf7d1e2815d858,Al Horford,NBA,31.33,,,,,,,
$500 NBA Daily 8/14,2020-08-13T16:00:08.952699,estk_3caf7d1e2815d85833aee19dae855240,evt_3caf7d1e2815d858,Shai Gilgeous-Alexander,NBA,28.75,,,,,,,
$500 NBA Daily 8/14,2020-08-13T16:00:08.952703,estk_3caf7d1e2815d8584d546eba965e40a0,evt_3caf7d1e2815d858,Steven Adams,NBA,27.54,,,,,,,
$500 NBA Daily 8/14,2020-08-13T16:00:08.952707,estk_3caf7d1e2815d858b3147c681557a264,evt_3caf7d1e2815d858,Josh Richardson,NBA,26.93,,,,,,,
$500 NBA Daily 8/14,2020-08-13T16:00:08.952711,estk_3caf7d1e2815d8586e1b2c66fb087a89,evt_3caf7d1e2815d858,Danilo Gallinari,NBA,26.8,,,,,,,
$500 NBA Daily 8/14,2020-08-13T16:00:08.952715,estk_3caf7d1e2815d8582e7d4bf632563918,evt_3caf7d1e2815d858,Robert Covington,NBA,23.96,,,,,,,
$500 NBA Daily 8/14,2020-08-13T16:00:08.952719,estk_3caf7d1e2815d85885e7a39b281a7530,evt_3caf7d1e2815d858,Ivica Zubac,NBA,21.59,,,,,,,
$500 NBA Daily 8/14,2020-08-13T16:00:08.952722,estk_3caf7d1e2815d858af1a06f413850d3c,evt_3caf7d1e2815d858,Montrezl Harrell,NBA,21.29,,,,,,,
$500 NBA Daily 8/14,2020-08-13T16:00:08.952726,estk_3caf7d1e2815d85857693decb131a860,evt_3caf7d1e2815d858,Lou Williams,NBA,20.62,,,,,,,
$500 NBA Daily 8/14,2020-08-13T16:00:08.952730,estk_3caf7d1e2815d8580b5bea604e9b515d,evt_3caf7d1e2815d858,Nerlens Noel,NBA,18.49,,,,,,,
$500 NBA Daily 8/14,2020-08-13T16:00:08.952734,estk_3caf7d1e2815d858a1e25447b314f889,evt_3caf7d1e2815d858,Shake Milton,NBA,18.47,,,,,,,
$500 NBA Daily 8/14,2020-08-13T16:00:08.952737,estk_3caf7d1e2815d858b402a1af1291a618,evt_3caf7d1e2815d858,Patrick Beverley,NBA,17.61,,,,,,,
$500 NBA Daily 8/14,2020-08-13T16:00:08.952741,estk_3caf7d1e2815d858575ca725abf50fd3,evt_3caf7d1e2815d858,Alec Burks,NBA,17.52,,,,,,,
$500 NBA Daily 8/14,2020-08-13T16:00:08.952745,estk_3caf7d1e2815d858bb2265938b36951f,evt_3caf7d1e2815d858,P.J. Tucker,NBA,17.25,,,,,,,
$500 NBA Daily 8/14,2020-08-13T16:00:08.952749,estk_3caf7d1e2815d8588b0372db86dba9af,evt_3caf7d1e2815d858,Furkan Korkmaz,NBA,16.76,,,,,,,
$500 NBA Daily 8/14,2020-08-13T16:00:08.952752,estk_3caf7d1e2815d85885078b5202b93fb5,evt_3caf7d1e2815d858,Luguentz Dort,NBA,16.59,,,,,,,
$500 NBA Daily 8/14,2020-08-13T16:00:08.952756,estk_3caf7d1e2815d8586e82fa5f30bdfa80,evt_3caf7d1e2815d858,Marcus Morris,NBA,14.91,,,,,,,
$500 NBA Daily 8/14,2020-08-13T16:00:08.952760,estk_3caf7d1e2815d858d5d16483f5148c0b,evt_3caf7d1e2815d858,Darius Bazley,NBA,14.72,,,,,,,
$500 NBA Daily 8/14,2020-08-13T16:00:08.952763,estk_3caf7d1e2815d858f101f1906b677e1c,evt_3caf7d1e2815d858,JaMychal Green,NBA,14.65,,,,,,,
$500 NBA Daily 8/14,2020-08-13T16:00:08.952767,estk_3caf7d1e2815d85892bc30f31e413420,evt_3caf7d1e2815d858,Matisse Thybulle,NBA,14.42,,,,,,,
$500 NBA Daily 8/14,2020-08-13T16:00:08.952770,estk_3caf7d1e2815d858e9aea717e9a5e7f3,evt_3caf7d1e2815d858,Reggie Jackson,NBA,13.54,,,,,,,
$500 NBA Daily 8/14,2020-08-13T16:00:08.952774,estk_3caf7d1e2815d858d086e77c2f7fd9b3,evt_3caf7d1e2815d858,Hamidou Diallo,NBA,12.27,,,,,,,
$500 NBA Daily 8/14,2020-08-13T16:00:08.952780,estk_3caf7d1e2815d8589e314ab9e97d6d4e,evt_3caf7d1e2815d858,Eric Gordon,NBA,11.9,,,,,,,
$500 NBA Daily 8/14,2020-08-13T16:00:08.952784,estk_3caf7d1e2815d858ce8e428feaa184fb,evt_3caf7d1e2815d858,Dennis Schroder,NBA,0,,,,,,,
$500 NBA Daily 8/14,2020-08-13T16:00:08.952788,estk_3caf7d1e2815d8589429a910322dd902,evt_3caf7d1e2815d858,Russell Westbrook,NBA,0,,,,,,,
$500 NBA Daily 8/14,2020-08-13T16:00:08.952792,estk_3caf7d1e2815d8583e4b7dde83288c09,evt_3caf7d1e2815d858,Norvel Pelle,NBA,0,,,,,,,
$500 NBA Daily 8/14,2020-08-13T16:00:08.952796,estk_3caf7d1e2815d8587e274b6cb95b0d20,evt_3caf7d1e2815d858,Danuel House,NBA,0,,,,,,,
$500 NBA Daily 8/14,2020-08-14T14:06:46.640100,estk_3caf7d1e2815d858998cf3066566c393,evt_3caf7d1e2815d858,James Harden,NBA,50.33,,,,21.2500,12.7100,,
$500 NBA Daily 8/14,2020-08-14T14:06:46.640128,estk_3caf7d1e2815d858bb115bd4f54ff319,evt_3caf7d1e2815d858,Kawhi Leonard,NBA,39.53,,,,15.3200,10.5900,,
$500 NBA Daily 8/14,2020-08-14T14:06:46.640133,estk_3caf7d1e2815d858f59563a6406f63f4,evt_3caf7d1e2815d858,Paul George,NBA,36.29,,,,13.4200,9.4700,,
$500 NBA Daily 8/14,2020-08-14T14:06:46.640137,estk_3caf7d1e2815d85877c3d3d4d8ad15c5,evt_3caf7d1e2815d858,Tobias Harris,NBA,26.33,,,,7.9600,6.4400,,
$500 NBA Daily 8/14,2020-08-14T14:06:46.640141,estk_3caf7d1e2815d85885e7a39b281a7530,evt_3caf7d1e2815d858,Ivica Zubac,NBA,25.69,,,,7.6200,6.1500,,
$500 NBA Daily 8/14,2020-08-14T14:06:46.640145,estk_3caf7d1e2815d8582e7d4bf632563918,evt_3caf7d1e2815d858,Robert Covington,NBA,23.96,,,,6.8100,5.4300,,
$500 NBA Daily 8/14,2020-08-14T14:06:46.640149,estk_3caf7d1e2815d8584d546eba965e40a0,evt_3caf7d1e2815d858,Steven Adams,NBA,23.31,,,,6.5400,5.1800,,
$500 NBA Daily 8/14,2020-08-14T14:06:46.640153,estk_3caf7d1e2815d85863a58b55849249a4,evt_3caf7d1e2815d858,Al Horford,NBA,22.97,,,,6.3800,5.0300,,
$500 NBA Daily 8/14,2020-08-14T14:06:46.640157,estk_3caf7d1e2815d858e9aea717e9a5e7f3,evt_3caf7d1e2815d858,Reggie Jackson,NBA,22.54,,,,6.2400,4.8300,,
$500 NBA Daily 8/14,2020-08-14T14:06:46.640161,estk_3caf7d1e2815d8586e82fa5f30bdfa80,evt_3caf7d1e2815d858,Marcus Morris,NBA,22,,,,6.0000,4.6900,,
$500 NBA Daily 8/14,2020-08-14T14:06:46.640164,estk_3caf7d1e2815d85833aee19dae855240,evt_3caf7d1e2815d858,Shai Gilgeous-Alexander,NBA,21.79,,,,5.8800,4.6300,,
$500 NBA Daily 8/14,2020-08-14T14:06:46.640171,estk_3caf7d1e2815d858b3147c681557a264,evt_3caf7d1e2815d858,Josh Richardson,NBA,21.54,,,,5.8500,4.5300,,
$500 NBA Daily 8/14,2020-08-14T14:06:46.640174,estk_3caf7d1e2815d8586e1b2c66fb087a89,evt_3caf7d1e2815d858,Danilo Gallinari,NBA,20.34,,,,5.3800,4.2900,,
$500 NBA Daily 8/14,2020-08-14T14:06:46.640178,estk_3caf7d1e2815d85857693decb131a860,evt_3caf7d1e2815d858,Lou Williams,NBA,19.8,,,,5.0900,4.1600,,
$500 NBA Daily 8/14,2020-08-14T14:06:46.640182,estk_3caf7d1e2815d85892bc30f31e413420,evt_3caf7d1e2815d858,Matisse Thybulle,NBA,19.01,,,,4.7600,3.9200,,
$500 NBA Daily 8/14,2020-08-14T14:06:46.640186,estk_3caf7d1e2815d8580b5bea604e9b515d,evt_3caf7d1e2815d858,Nerlens Noel,NBA,18.49,,,,4.6200,3.7800,,
$500 NBA Daily 8/14,2020-08-14T14:06:46.640189,estk_3caf7d1e2815d858d086e77c2f7fd9b3,evt_3caf7d1e2815d858,Hamidou Diallo,NBA,18.39,,,,4.6100,3.7500,,
$500 NBA Daily 8/14,2020-08-14T14:06:46.640193,estk_3caf7d1e2815d858d5d16483f5148c0b,evt_3caf7d1e2815d858,Darius Bazley,NBA,18.42,,,,4.5900,3.7500,,
$500 NBA Daily 8/14,2020-08-14T14:06:46.640197,estk_3caf7d1e2815d858575ca725abf50fd3,evt_3caf7d1e2815d858,Alec Burks,NBA,18.36,,,,4.5800,3.7100,,
$500 NBA Daily 8/14,2020-08-14T14:06:46.640200,estk_3caf7d1e2815d858bb2265938b36951f,evt_3caf7d1e2815d858,P.J. Tucker,NBA,17.25,,,,4.2300,3.4500,,
$500 NBA Daily 8/14,2020-08-14T14:06:46.640204,estk_3caf7d1e2815d858a1e25447b314f889,evt_3caf7d1e2815d858,Shake Milton,NBA,17.1,,,,4.2000,3.4300,,
$500 NBA Daily 8/14,2020-08-14T14:06:46.640207,estk_3caf7d1e2815d858f101f1906b677e1c,evt_3caf7d1e2815d858,JaMychal Green,NBA,17.09,,,,4.1900,3.4000,,
$500 NBA Daily 8/14,2020-08-14T14:06:46.640210,estk_3caf7d1e2815d8588b0372db86dba9af,evt_3caf7d1e2815d858,Furkan Korkmaz,NBA,13.72,,,,3.2200,2.7800,,
$500 NBA Daily 8/14,2020-08-14T14:06:46.640214,estk_3caf7d1e2815d8583e4b7dde83288c09,evt_3caf7d1e2815d858,Norvel Pelle,NBA,12.47,,,,2.9600,2.5800,,
$500 NBA Daily 8/14,2020-08-14T14:06:46.640217,estk_3caf7d1e2815d8589e314ab9e97d6d4e,evt_3caf7d1e2815d858,Eric Gordon,NBA,11.9,,,,2.8100,2.4900,,
$500 NBA Daily 8/14,2020-08-14T14:06:46.640221,estk_3caf7d1e2815d85886ea8af848cca3f6,evt_3caf7d1e2815d858,Chris Paul,NBA,0,,,,1.0000,2.9700,,
$500 NBA Daily 8/14,2020-08-14T14:06:46.640224,estk_3caf7d1e2815d858b402a1af1291a618,evt_3caf7d1e2815d858,Patrick Beverley,NBA,0,,,,1.0000,1.5000,,
$500 NBA Daily 8/14,2020-08-14T14:06:46.640228,estk_3caf7d1e2815d858ce8e428feaa184fb,evt_3caf7d1e2815d858,Dennis Schroder,NBA,0,,,,1.0000,1.0000,,
$500 NBA Daily 8/14,2020-08-14T14:06:46.640231,estk_3caf7d1e2815d85885078b5202b93fb5,evt_3caf7d1e2815d858,Luguentz Dort,NBA,0,,,,1.0000,1.4600,,
$500 NBA Daily 8/14,2020-08-14T14:06:46.640234,estk_3caf7d1e2815d8587e274b6cb95b0d20,evt_3caf7d1e2815d858,Danuel House,NBA,0,,,,1.0000,1.0000,,
$500 NBA Daily 8/14,2020-08-14T14:06:46.640238,estk_3caf7d1e2815d8589429a910322dd902,evt_3caf7d1e2815d858,Russell Westbrook,NBA,0,,,,1.0000,1.0000,,
$500 NBA Daily 8/14,2020-08-14T14:06:46.640248,estk_3caf7d1e2815d858af1a06f413850d3c,evt_3caf7d1e2815d858,Montrezl Harrell,NBA,0,,,,1.0000,1.6900,,
$500 NBA Daily 8/14,2020-08-14T20:59:53.375506,estk_3caf7d1e2815d858998cf3066566c393,evt_3caf7d1e2815d858,James Harden,NBA,50.33,50.33,0,0,20.0600,13.7000,,
$500 NBA Daily 8/14,2020-08-14T20:59:53.375535,estk_3caf7d1e2815d858bb115bd4f54ff319,evt_3caf7d1e2815d858,Kawhi Leonard,NBA,39.53,39.53,0,0,14.3700,11.8000,,
$500 NBA Daily 8/14,2020-08-14T20:59:53.375541,estk_3caf7d1e2815d858f59563a6406f63f4,evt_3caf7d1e2815d858,Paul George,NBA,36.29,36.29,0,0,12.5400,10.9700,,
$500 NBA Daily 8/14,2020-08-14T20:59:53.375545,estk_3caf7d1e2815d85877c3d3d4d8ad15c5,evt_3caf7d1e2815d858,Tobias Harris,NBA,26.33,26.33,0,0,7.6000,7.2500,,
$500 NBA Daily 8/14,2020-08-14T20:59:53.375549,estk_3caf7d1e2815d85885e7a39b281a7530,evt_3caf7d1e2815d858,Ivica Zubac,NBA,25.69,25.69,0,0,7.2300,6.9700,,
$500 NBA Daily 8/14,2020-08-14T20:59:53.375553,estk_3caf7d1e2815d8582e7d4bf632563918,evt_3caf7d1e2815d858,Robert Covington,NBA,23.96,23.96,0,0,6.5700,6.3500,,
$500 NBA Daily 8/14,2020-08-14T20:59:53.375557,estk_3caf7d1e2815d8584d546eba965e40a0,evt_3caf7d1e2815d858,Steven Adams,NBA,23.31,23.31,0,0,6.3400,6.0600,,
$500 NBA Daily 8/14,2020-08-14T20:59:53.375562,estk_3caf7d1e2815d85863a58b55849249a4,evt_3caf7d1e2815d858,Al Horford,NBA,22.97,22.97,0,0,6.2100,5.9400,,
$500 NBA Daily 8/14,2020-08-14T20:59:53.375566,estk_3caf7d1e2815d858e9aea717e9a5e7f3,evt_3caf7d1e2815d858,Reggie Jackson,NBA,22.54,22.54,0,0,6.0200,5.8000,,
$500 NBA Daily 8/14,2020-08-14T20:59:53.375570,estk_3caf7d1e2815d8586e82fa5f30bdfa80,evt_3caf7d1e2815d858,Marcus Morris,NBA,22,22,0,0,5.8700,5.6000,,
$500 NBA Daily 8/14,2020-08-14T20:59:53.375574,estk_3caf7d1e2815d85833aee19dae855240,evt_3caf7d1e2815d858,Shai Gilgeous-Alexander,NBA,21.79,21.79,0,0,5.7600,5.5300,,
$500 NBA Daily 8/14,2020-08-14T20:59:53.375578,estk_3caf7d1e2815d858b3147c681557a264,evt_3caf7d1e2815d858,Josh Richardson,NBA,21.54,21.54,0,0,5.6800,5.4500,,
$500 NBA Daily 8/14,2020-08-14T20:59:53.375582,estk_3caf7d1e2815d858ce8e428feaa184fb,evt_3caf7d1e2815d858,Dennis Schroder,NBA,21.19,21.19,0,0,5.5500,3.5200,,
$500 NBA Daily 8/14,2020-08-14T20:59:53.375585,estk_3caf7d1e2815d8586e1b2c66fb087a89,evt_3caf7d1e2815d858,Danilo Gallinari,NBA,20.34,20.34,0,0,5.3000,5.0400,,
$500 NBA Daily 8/14,2020-08-14T20:59:53.375589,estk_3caf7d1e2815d85857693decb131a860,evt_3caf7d1e2815d858,Lou Williams,NBA,19.8,19.8,0,0,5.0300,4.9100,,
$500 NBA Daily 8/14,2020-08-14T20:59:53.375593,estk_3caf7d1e2815d85892bc30f31e413420,evt_3caf7d1e2815d858,Matisse Thybulle,NBA,19.01,19.01,0,0,4.8200,4.6200,,
$500 NBA Daily 8/14,2020-08-14T20:59:53.375597,estk_3caf7d1e2815d858d5d16483f5148c0b,evt_3caf7d1e2815d858,Darius Bazley,NBA,18.42,18.42,0,0,4.6400,4.4500,,
$500 NBA Daily 8/14,2020-08-14T20:59:53.375601,estk_3caf7d1e2815d858575ca725abf50fd3,evt_3caf7d1e2815d858,Alec Burks,NBA,18.36,18.36,0,0,4.6300,4.4600,,
$500 NBA Daily 8/14,2020-08-14T20:59:53.375605,estk_3caf7d1e2815d8580b5bea604e9b515d,evt_3caf7d1e2815d858,Nerlens Noel,NBA,18.49,18.49,0,0,4.6200,4.4800,,
$500 NBA Daily 8/14,2020-08-14T20:59:53.375608,estk_3caf7d1e2815d858d086e77c2f7fd9b3,evt_3caf7d1e2815d858,Hamidou Diallo,NBA,18.39,18.39,0,0,4.5700,4.4500,,
$500 NBA Daily 8/14,2020-08-14T20:59:53.375612,estk_3caf7d1e2815d858bb2265938b36951f,evt_3caf7d1e2815d858,P.J. Tucker,NBA,17.25,17.25,0,0,4.2900,4.1400,,
$500 NBA Daily 8/14,2020-08-14T20:59:53.375616,estk_3caf7d1e2815d858a1e25447b314f889,evt_3caf7d1e2815d858,Shake Milton,NBA,17.1,17.1,0,0,4.2500,4.0900,,
$500 NBA Daily 8/14,2020-08-14T20:59:53.375620,estk_3caf7d1e2815d858f101f1906b677e1c,evt_3caf7d1e2815d858,JaMychal Green,NBA,17.09,17.09,0,0,4.2400,4.0700,,
$500 NBA Daily 8/14,2020-08-14T20:59:53.375624,estk_3caf7d1e2815d8588b0372db86dba9af,evt_3caf7d1e2815d858,Furkan Korkmaz,NBA,13.72,13.72,0,0,3.3500,3.2400,,
$500 NBA Daily 8/14,2020-08-14T20:59:53.375628,estk_3caf7d1e2815d8583e4b7dde83288c09,evt_3caf7d1e2815d858,Norvel Pelle,NBA,12.47,12.47,0,0,3.0600,2.9900,,
$500 NBA Daily 8/14,2020-08-14T20:59:53.375632,estk_3caf7d1e2815d8589e314ab9e97d6d4e,evt_3caf7d1e2815d858,Eric Gordon,NBA,11.9,11.9,0,0,2.9200,2.8700,,
$500 NBA Daily 8/14,2020-08-14T20:59:53.375636,estk_3caf7d1e2815d85886ea8af848cca3f6,evt_3caf7d1e2815d858,Chris Paul,NBA,0,0,0,0,1.0000,2.9700,,
$500 NBA Daily 8/14,2020-08-14T20:59:53.375640,estk_3caf7d1e2815d858b402a1af1291a618,evt_3caf7d1e2815d858,Patrick Beverley,NBA,0,0,0,0,1.0000,1.5000,,
$500 NBA Daily 8/14,2020-08-14T20:59:53.375643,estk_3caf7d1e2815d85885078b5202b93fb5,evt_3caf7d1e2815d858,Luguentz Dort,NBA,0,0,0,0,1.0000,1.4600,,
$500 NBA Daily 8/14,2020-08-14T20:59:53.375647,estk_3caf7d1e2815d8587e274b6cb95b0d20,evt_3caf7d1e2815d858,Danuel House,NBA,0,0,0,0,1.0000,1.0000,,
$500 NBA Daily 8/14,2020-08-14T20:59:53.375650,estk_3caf7d1e2815d8589429a910322dd902,evt_3caf7d1e2815d858,Russell Westbrook,NBA,0,0,0,0,1.0000,1.0000,,
$500 NBA Daily 8/14,2020-08-14T20:59:53.375654,estk_3caf7d1e2815d858af1a06f413850d3c,evt_3caf7d1e2815d858,Montrezl Harrell,NBA,0,0,0,0,1.0000,1.6900,,
$500 NBA Daily 8/14,2020-08-14T22:47:39.263410,estk_3caf7d1e2815d858e9aea717e9a5e7f3,evt_3caf7d1e2815d858,Reggie Jackson,NBA,26.3,25.51,0,0.03,8.8700,5.8000,10.5800,7.1900
$500 NBA Daily 8/14,2020-08-14T22:47:39.263415,estk_3caf7d1e2815d85885e7a39b281a7530,evt_3caf7d1e2815d858,Ivica Zubac,NBA,25.69,24.92,0,0.03,8.5900,6.9700,10.2600,
$500 NBA Daily 8/14,2020-08-14T22:47:39.263423,estk_3caf7d1e2815d8584d546eba965e40a0,evt_3caf7d1e2815d858,Steven Adams,NBA,23.31,22.11,-0.5,0.03,7.4100,6.0600,9.0800,6.9200
$500 NBA Daily 8/14,2020-08-14T22:47:39.263430,estk_3caf7d1e2815d858f101f1906b677e1c,evt_3caf7d1e2815d858,JaMychal Green,NBA,22.79,23.61,1.5,0.03,7.1500,4.0700,8.7200,4.5400
$500 NBA Daily 8/14,2020-08-14T22:47:39.263435,estk_3caf7d1e2815d85833aee19dae855240,evt_3caf7d1e2815d858,Shai Gilgeous-Alexander,NBA,21.79,21.14,0,0.03,6.7400,5.5300,8.3500,4.5400
$500 NBA Daily 8/14,2020-08-14T22:47:39.263442,estk_3caf7d1e2815d858ce8e428feaa184fb,evt_3caf7d1e2815d858,Dennis Schroder,NBA,21.19,24.55,4,0.03,6.4300,3.5200,8.0600,5.0000
$500 NBA Daily 8/14,2020-08-14T22:47:39.263446,estk_3caf7d1e2815d8586e1b2c66fb087a89,evt_3caf7d1e2815d858,Danilo Gallinari,NBA,20.34,19.73,0,0.03,6.1600,5.0400,7.7600,
$500 NBA Daily 8/14,2020-08-14T22:47:39.263450,estk_3caf7d1e2815d85857693decb131a860,evt_3caf7d1e2815d858,Lou Williams,NBA,19.8,19.21,0,0.03,5.8200,4.9100,7.5100,5.0000
$500 NBA Daily 8/14,2020-08-14T22:47:39.263458,estk_3caf7d1e2815d8580b5bea604e9b515d,evt_3caf7d1e2815d858,Nerlens Noel,NBA,18.49,17.94,0,0.03,5.3800,4.4800,6.9200,4.2000
$500 NBA Daily 8/14,2020-08-14T22:47:39.263462,estk_3caf7d1e2815d858d5d16483f5148c0b,evt_3caf7d1e2815d858,Darius Bazley,NBA,18.42,17.87,0,0.03,5.3700,4.4500,6.8600,
$500 NBA Daily 8/14,2020-08-14T22:47:39.263466,estk_3caf7d1e2815d858d086e77c2f7fd9b3,evt_3caf7d1e2815d858,Hamidou Diallo,NBA,18.39,17.84,0,0.03,5.3400,4.4500,6.8900,5.5400
$500 NBA Daily 8/14,2020-08-14T22:47:39.263491,estk_3caf7d1e2815d858bb115bd4f54ff319,evt_3caf7d1e2815d858,Kawhi Leonard,NBA,11.63,11.28,0,0.03,3.1600,11.8000,4.7600,4.2600
$500 NBA Daily 8/14,2020-08-14T22:47:39.263495,estk_3caf7d1e2815d858f59563a6406f63f4,evt_3caf7d1e2815d858,Paul George,NBA,10.67,10.35,0,0.03,2.9800,10.9700,4.5200,4.0200
$500 NBA Daily 8/14,2020-08-14T22:47:39.263499,estk_3caf7d1e2815d8586e82fa5f30bdfa80,evt_3caf7d1e2815d858,Marcus Morris,NBA,7.1,6.89,0,0.03,2.3100,5.6000,3.8300,3.3300
$500 NBA Daily 8/14,2020-08-14T22:47:39.263502,estk_3caf7d1e2815d85886ea8af848cca3f6,evt_3caf7d1e2815d858,Chris Paul,NBA,0,0,0,0.03,1.0000,2.9700,2.5200,
$500 NBA Daily 8/14,2020-08-14T22:47:39.263506,estk_3caf7d1e2815d858b402a1af1291a618,evt_3caf7d1e2815d858,Patrick Beverley,NBA,0,0,0,0.03,1.0000,1.5000,2.5200,2.0200
$500 NBA Daily 8/14,2020-08-14T22:47:39.263510,estk_3caf7d1e2815d85885078b5202b93fb5,evt_3caf7d1e2815d858,Luguentz Dort,NBA,0,0,0,0.03,1.0000,1.4600,2.5200,2.0200
$500 NBA Daily 8/14,2020-08-14T22:47:39.263520,estk_3caf7d1e2815d858af1a06f413850d3c,evt_3caf7d1e2815d858,Montrezl Harrell,NBA,0,0,0,0.03,1.0000,1.6900,2.5200,2.0200
$500 NBA Daily 8/14,2020-08-14T22:48:39.935967,estk_3caf7d1e2815d858e9aea717e9a5e7f3,evt_3caf7d1e2815d858,Reggie Jackson,NBA,26.3,25.25,0,0.04,8.6000,5.8000,10.5800,10.0800
$500 NBA Daily 8/14,2020-08-14T22:48:39.935972,estk_3caf7d1e2815d85885e7a39b281a7530,evt_3caf7d1e2815d858,Ivica Zubac,NBA,25.69,26.66,2,0.04,8.2300,6.9700,10.2600,6.9200
$500 NBA Daily 8/14,2020-08-14T22:48:39.935976,estk_3caf7d1e2815d858ce8e428feaa184fb,evt_3caf7d1e2815d858,Dennis Schroder,NBA,21.19,24.34,4,0.04,8.0200,3.5200,8.0600,6.3600
$500 NBA Daily 8/14,2020-08-14T22:48:39.935983,estk_3caf7d1e2815d858f101f1906b677e1c,evt_3caf7d1e2815d858,JaMychal Green,NBA,22.79,24.63,2.75,0.04,7.6400,4.0700,8.7200,5.9900
$500 NBA Daily 8/14,2020-08-14T22:48:39.935991,estk_3caf7d1e2815d8584d546eba965e40a0,evt_3caf7d1e2815d858,Steven Adams,NBA,23.31,22.63,0.25,0.04,6.9700,6.0600,9.0800,5.7600
$500 NBA Daily 8/14,2020-08-14T22:48:39.935999,estk_3caf7d1e2815d85833aee19dae855240,evt_3caf7d1e2815d858,Shai Gilgeous-Alexander,NBA,21.79,20.42,-0.5,0.04,6.4000,5.5300,8.3500,5.5400
$500 NBA Daily 8/14,2020-08-14T22:48:39.936003,estk_3caf7d1e2815d8586e1b2c66fb087a89,evt_3caf7d1e2815d858,Danilo Gallinari,NBA,20.34,19.03,-0.5,0.04,5.8600,5.0400,7.7600,4.5400
$500 NBA Daily 8/14,2020-08-14T22:48:39.936007,estk_3caf7d1e2815d85857693decb131a860,evt_3caf7d1e2815d858,Lou Williams,NBA,19.8,19.01,0,0.04,5.6300,4.9100,7.5100,7.0100
$500 NBA Daily 8/14,2020-08-14T22:48:39.936018,estk_3caf7d1e2815d8580b5bea604e9b515d,evt_3caf7d1e2815d858,Nerlens Noel,NBA,18.49,17.75,0,0.04,5.2200,4.4800,6.9200,5.5400
$500 NBA Daily 8/14,2020-08-14T22:48:39.936022,estk_3caf7d1e2815d858d086e77c2f7fd9b3,evt_3caf7d1e2815d858,Hamidou Diallo,NBA,18.39,17.65,0,0.04,5.1500,4.4500,6.8900,6.3900
$500 NBA Daily 8/14,2020-08-14T22:48:39.936026,estk_3caf7d1e2815d858d5d16483f5148c0b,evt_3caf7d1e2815d858,Darius Bazley,NBA,18.42,17.68,0,0.04,5.0400,4.4500,6.8600,4.5400
$500 NBA Daily 8/14,2020-08-14T22:48:39.936048,estk_3caf7d1e2815d858bb115bd4f54ff319,evt_3caf7d1e2815d858,Kawhi Leonard,NBA,11.63,11.16,0,0.04,3.1000,11.8000,4.7600,4.2600
$500 NBA Daily 8/14,2020-08-14T22:48:39.936051,estk_3caf7d1e2815d858f59563a6406f63f4,evt_3caf7d1e2815d858,Paul George,NBA,10.67,10.24,0,0.04,2.8800,10.9700,4.5200,4.0200
$500 NBA Daily 8/14,2020-08-14T22:48:39.936055,estk_3caf7d1e2815d8586e82fa5f30bdfa80,evt_3caf7d1e2815d858,Marcus Morris,NBA,7.1,6.82,0,0.04,2.2400,5.6000,3.8300,3.3300
$500 NBA Daily 8/14,2020-08-14T22:48:39.936059,estk_3caf7d1e2815d85886ea8af848cca3f6,evt_3caf7d1e2815d858,Chris Paul,NBA,0,0,0,0.04,1.0000,2.9700,2.5200,2.0200
$500 NBA Daily 8/14,2020-08-14T22:48:39.936063,estk_3caf7d1e2815d858b402a1af1291a618,evt_3caf7d1e2815d858,Patrick Beverley,NBA,0,0,0,0.04,1.0000,1.5000,2.5200,
$500 NBA Daily 8/14,2020-08-14T22:48:39.936066,estk_3caf7d1e2815d85885078b5202b93fb5,evt_3caf7d1e2815d858,Luguentz Dort,NBA,0,0,0,0.04,1.0000,1.4600,2.5200,2.0200
$500 NBA Daily 8/14,2020-08-14T22:48:39.936077,estk_3caf7d1e2815d858af1a06f413850d3c,evt_3caf7d1e2815d858,Montrezl Harrell,NBA,0,0,0,0.04,1.0000,1.6900,2.5200,2.0200
